Athlete,Sport
Kianoush Rostami,Weightlifting
Ryang Chun-Hwa,Weightlifting
Behdad Salimi,Weightlifting
Marina Shkermankova,Weightlifting
Pimsiri Sirikaew,Weightlifting
Oleksiy Torokhtiy,Weightlifting
Triyatno,Weightlifting
Svetlana Tsarukayeva,Weightlifting
Wang Mingjuan,Weightlifting
Wu Jingbiao,Weightlifting
Valentin Xristov,Weightlifting
Nataliya Zabolotnaya,Weightlifting
Zhou Lulu,Weightlifting
Adrian Zielinski,Weightlifting
Khadzhimurat Akkayev,Weightlifting
Andrey Aryamnov,Weightlifting
Cao Lei,Weightlifting
Chen Wei-Ling,Weightlifting
Chen Xiexia,Weightlifting
Chen Yanqing,Weightlifting
Yevgeny Chigishev,Weightlifting
Vencelas Dabaya,Weightlifting
Gevorg Davtyan,Weightlifting
Nataliya Davydova,Weightlifting
Mariya Grabovetskaya,Weightlifting
Hoàng Anh Tu?n,Weightlifting
Jang Mi-Ran,Weightlifting
Prapawadee Jaroenrattanatarakoon,Weightlifting
Dmitry Klokov,Weightlifting
Olha Korobka,Weightlifting
Szymon Kolecki,Weightlifting
Dmitry Lapikov,Weightlifting
Li Hongli,Weightlifting
Liao Hui,Weightlifting
Liu Chunhong,Weightlifting
Long Qingquan,Weightlifting
Lu Ying-Chi,Weightlifting
Lu Yong,Weightlifting
Tigran G. Martirosyan,Weightlifting
Tigran V. Martirosyan,Weightlifting
Irina Nekrasova,Weightlifting
Anastasiya Novikova,Weightlifting
O Jong-Ae,Weightlifting
Sibel Özkan,Weightlifting
Pak Hyon-Suk,Weightlifting
Andrey Rybakov,Weightlifting
