Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Yana Klochkova,18,2000,10/01/2000,2,1,0,3
Lenny Krayzelburg,24,2000,10/01/2000,3,0,0,3
Massimiliano Rosolino,22,2000,10/01/2000,1,1,1,3
Petria Thomas,25,2000,10/01/2000,0,2,1,3
Matt Welsh,23,2000,10/01/2000,0,2,1,3
Lee Jeong-Su,20,2010,02/28/2010,2,1,0,3
Apolo Anton Ohno,27,2010,02/28/2010,0,1,2,3
Wang Meng,24,2010,02/28/2010,3,0,0,3
Jin Seon-Yu,17,2006,02/26/2006,3,0,0,3
Lee Ho-Seok,19,2006,02/26/2006,1,2,0,3
Apolo Anton Ohno,23,2006,02/26/2006,1,0,2,3
Wang Meng,20,2006,02/26/2006,1,1,1,3
Marc Gagnon,26,2002,02/24/2002,2,0,1,3
Yang Yang (A),25,2002,02/24/2002,2,1,0,3
Stephanie Beckert,21,2010,02/28/2010,1,2,0,3
Martina Sáblíková,22,2010,02/28/2010,2,0,1,3
Enrico Fabris,24,2006,02/26/2006,2,0,1,3
Chad Hedrick,28,2006,02/26/2006,1,1,1,3
Jochem Uytdehaage,25,2002,02/24/2002,2,1,0,3
Sabine Völker,28,2002,02/24/2002,0,2,1,3
Gregor Schlierenzauer,20,2010,02/28/2010,1,0,2,3
Lars Bystøl,27,2006,02/26/2006,1,0,2,3
Johnny Spillane,29,2010,02/28/2010,0,3,0,3
Felix Gottwald,30,2006,02/26/2006,2,1,0,3
Georg Hettich,27,2006,02/26/2006,1,1,1,3
Felix Gottwald,26,2002,02/24/2002,0,0,3,3
Samppa Lajunen,22,2002,02/24/2002,3,0,0,3
Aly Raisman,18,2012,08/12/2012,2,0,1,3
Kohei Uchimura,23,2012,08/12/2012,1,2,0,3
Zou Kai,24,2012,08/12/2012,2,0,1,3
Cheng Fei,20,2008,08/24/2008,1,0,2,3
Yang Wei,28,2008,08/24/2008,2,1,0,3
Yang Yilin,15,2008,08/24/2008,1,0,2,3
Zou Kai,20,2008,08/24/2008,3,0,0,3
Marian Dragulescu,23,2004,08/29/2004,0,1,2,3
Paul Hamm,21,2004,08/29/2004,1,2,0,3
Carly Patterson,16,2004,08/29/2004,1,2,0,3
Catalina Ponor,16,2004,08/29/2004,3,0,0,3
Simona Amânar,20,2000,10/01/2000,2,0,1,3
Svetlana Khorkina,21,2000,10/01/2000,1,2,0,3
Yekaterina Lobaznyuk,17,2000,10/01/2000,0,2,1,3
Yelena Zamolodchikova,17,2000,10/01/2000,2,1,0,3
Guo Shuang,26,2012,08/12/2012,0,2,1,3
Chris Hoy,32,2008,08/24/2008,3,0,0,3
Bradley Wiggins,24,2004,08/29/2004,1,1,1,3
Florian Rousseau,26,2000,10/01/2000,2,1,0,3
Justyna Kowalczyk,27,2010,02/28/2010,1,1,1,3
Johan Olsson,29,2010,02/28/2010,1,0,2,3
Stefania Belmondo,33,2002,02/24/2002,1,1,1,3
Yuliya Chepalova,25,2002,02/24/2002,1,1,1,3
Frode Estil,29,2002,02/24/2002,2,1,0,3
Bente Skari-Martinsen,29,2002,02/24/2002,1,1,1,3
Magdalena Neuner,23,2010,02/28/2010,2,1,0,3
Emil Hegle Svendsen,24,2010,02/28/2010,2,1,0,3
Albina Akhatova,29,2006,02/26/2006,1,0,2,3
Ole Einar Bjørndalen,32,2006,02/26/2006,0,2,1,3
Sven Fischer,34,2006,02/26/2006,2,0,1,3
Martina Glagow-Beck,26,2006,02/26/2006,0,3,0,3
Michael Greis,29,2006,02/26/2006,3,0,0,3
Kati Wilhelm,29,2006,02/26/2006,1,2,0,3
Kati Wilhelm,25,2002,02/24/2002,2,1,0,3
Yohan Blake,22,2012,08/12/2012,1,2,0,3
Usain Bolt,25,2012,08/12/2012,3,0,0,3
Allyson Felix,26,2012,08/12/2012,3,0,0,3
Shelly-Ann Fraser-Pryce,25,2012,08/12/2012,1,2,0,3
Carmelita Jeter,32,2012,08/12/2012,1,1,1,3
Usain Bolt,21,2008,08/24/2008,3,0,0,3
Veronica Campbell-Brown,22,2004,08/29/2004,2,0,1,3
Justin Gatlin,22,2004,08/29/2004,1,1,1,3
Bode Miller,32,2010,02/28/2010,1,1,1,3
Aksel Lund Svindal,27,2010,02/28/2010,1,1,1,3
Anja Pärson,24,2006,02/26/2006,1,0,2,3
Stephan Eberharter,32,2002,02/24/2002,1,1,1,3
Ding Ning,22,2012,08/12/2012,1,1,0,2
Feng Tian Wei,25,2012,08/12/2012,0,0,2,2
Li Xiaoxia,24,2012,08/12/2012,2,0,0,2
Dmitrij Ovtcharov,23,2012,08/12/2012,0,0,2,2
Wang Hao,28,2012,08/12/2012,1,1,0,2
Zhang Jike,24,2012,08/12/2012,2,0,0,2
Guo Yue,20,2008,08/24/2008,1,0,1,2
Ma Lin,28,2008,08/24/2008,2,0,0,2
Wang Hao,24,2008,08/24/2008,1,1,0,2
Wang Liqin,30,2008,08/24/2008,1,0,1,2
Wang Nan,29,2008,08/24/2008,1,1,0,2
Zhang Yining,26,2008,08/24/2008,2,0,0,2
Zhang Yining,22,2004,08/29/2004,2,0,0,2
Kong Linghui,24,2000,10/01/2000,1,1,0,2
Li Ju,24,2000,10/01/2000,1,1,0,2
Liu Guoliang,24,2000,10/01/2000,0,1,1,2
Wang Nan,21,2000,10/01/2000,2,0,0,2
Viktoriya Azarenko,22,2012,08/12/2012,1,0,1,2
Mike Bryan,34,2012,08/12/2012,1,0,1,2
Andy Murray,25,2012,08/12/2012,1,1,0,2
Serena Williams,30,2012,08/12/2012,2,0,0,2
Fernando González,24,2004,08/29/2004,1,0,1,2
Nicolás Massú,26,2004,08/29/2004,2,0,0,2
Venus Williams,20,2000,10/01/2000,2,0,0,2
Ona Carbonell,22,2012,08/12/2012,0,1,1,2
Andrea Fuentes,29,2012,08/12/2012,0,1,1,2
Huang Xuechen,22,2012,08/12/2012,0,1,1,2
Nataliya Ishchenko,26,2012,08/12/2012,2,0,0,2
Liu Ou,25,2012,08/12/2012,0,1,1,2
Svetlana Romashina,22,2012,08/12/2012,2,0,0,2
Anastasiya Davydova,25,2008,08/24/2008,2,0,0,2
Andrea Fuentes,25,2008,08/24/2008,0,2,0,2
Gemma Mengual,31,2008,08/24/2008,0,2,0,2
Anastasiya Yermakova,25,2008,08/24/2008,2,0,0,2
Alison Bartosik,21,2004,08/29/2004,0,0,2,2
Anastasiya Davydova,21,2004,08/29/2004,2,0,0,2
Anna Kozlova,31,2004,08/29/2004,0,0,2,2
Miya Tachibana,29,2004,08/29/2004,0,2,0,2
Miho Takeda,27,2004,08/29/2004,0,2,0,2
Anastasiya Yermakova,21,2004,08/29/2004,2,0,0,2
Olga Brusnikina,21,2000,10/01/2000,2,0,0,2
Mariya Kiselyova,25,2000,10/01/2000,2,0,0,2
Miya Tachibana,25,2000,10/01/2000,0,2,0,2
Miho Takeda,24,2000,10/01/2000,0,2,0,2
Becky Adlington,23,2012,08/12/2012,0,0,2,2
Bronte Barratt,23,2012,08/12/2012,0,1,1,2
Elizabeth Beisel,19,2012,08/12/2012,0,1,1,2
Mireia Belmonte,21,2012,08/12/2012,0,2,0,2
Ricky Berens,24,2012,08/12/2012,1,1,0,2
Aleksandra Gerasimenya,26,2012,08/12/2012,0,2,0,2
Brendan Hansen,30,2012,08/12/2012,1,0,1,2
Jessica Hardy,25,2012,08/12/2012,1,0,1,2
Chad le Clos,20,2012,08/12/2012,1,1,0,2
Clément Lefert,24,2012,08/12/2012,1,1,0,2
Amaury Leveaux,26,2012,08/12/2012,1,1,0,2
James Magnussen,21,2012,08/12/2012,0,1,1,2
Takeshi Matsuda,28,2012,08/12/2012,0,1,1,2
Oussama Mellouli,28,2012,08/12/2012,1,0,1,2
Park Tae-Hwan,22,2012,08/12/2012,0,2,0,2
Christian Sprenger,26,2012,08/12/2012,0,1,1,2
Jeremy Stravius,24,2012,08/12/2012,1,1,0,2
Aya Terakawa,27,2012,08/12/2012,0,0,2,2
Nick Thoman,26,2012,08/12/2012,1,1,0,2
Marleen Veldhuis,33,2012,08/12/2012,0,1,1,2
Ye Shiwen,16,2012,08/12/2012,2,0,0,2
Becky Adlington,19,2008,08/24/2008,2,0,0,2
Leith Brodie,22,2008,08/24/2008,0,0,2,2
Cate Campbell,16,2008,08/24/2008,0,0,2,2
César Cielo Filho,21,2008,08/24/2008,1,0,1,2
Hugues Duboscq,26,2008,08/24/2008,0,0,2,2
Felicity Galvez,23,2008,08/24/2008,2,0,0,2
Grant Hackett,28,2008,08/24/2008,0,1,1,2
Kara Lynn Joyce,22,2008,08/24/2008,0,2,0,2
Amaury Leveaux,22,2008,08/24/2008,0,2,0,2
Christine Magnuson,22,2008,08/24/2008,0,2,0,2
Patrick Murphy,24,2008,08/24/2008,0,0,2,2
Park Tae-Hwan,18,2008,08/24/2008,1,1,0,2
Shayne Reese,25,2008,08/24/2008,1,0,1,2
Brenton Rickard,24,2008,08/24/2008,0,2,0,2
Mel Schlanger,21,2008,08/24/2008,1,0,1,2
Julia Smit,20,2008,08/24/2008,0,1,1,2
Britta Steffen,24,2008,08/24/2008,2,0,0,2
Hayden Stoeckel,24,2008,08/24/2008,0,1,1,2
Matt Targett,22,2008,08/24/2008,0,1,1,2
Peter Vanderkaay,24,2008,08/24/2008,1,0,1,2
Arkady Vyachanin,24,2008,08/24/2008,0,0,2,2
Garrett Weber-Gale,23,2008,08/24/2008,2,0,0,2
Lindsay Benko,27,2004,08/29/2004,1,1,0,2
Gary Hall Jr.,29,2004,08/29/2004,1,0,1,2
Brooke Hanson,26,2004,08/29/2004,1,1,0,2
Kara Lynn Joyce,18,2004,08/29/2004,0,2,0,2
Klete Keller,22,2004,08/29/2004,1,0,1,2
Yana Klochkova,22,2004,08/29/2004,2,0,0,2
Rachel Komisarz,27,2004,08/29/2004,1,1,0,2
Libby Lenton-Trickett,19,2004,08/29/2004,1,0,1,2
Jason Lezak,28,2004,08/29/2004,1,0,1,2
Ryan Lochte,20,2004,08/29/2004,1,1,0,2
Alice Mills,18,2004,08/29/2004,2,0,0,2
Tomomi Morita,19,2004,08/29/2004,0,0,2,2
Markus Rogan,22,2004,08/29/2004,0,2,0,2
Jenny Thompson,31,2004,08/29/2004,0,2,0,2
Franziska van Almsick,26,2004,08/29/2004,0,0,2,2
Neil Walker,28,2004,08/29/2004,1,0,1,2
Amanda Weir,18,2004,08/29/2004,0,2,0,2
Takashi Yamamoto,26,2004,08/29/2004,0,1,1,2
Brooke Bennett,20,2000,10/01/2000,2,0,0,2
Beatrice Coada-Caslaru,25,2000,10/01/2000,0,1,1,2
Josh Davis,28,2000,10/01/2000,0,2,0,2
Tom Dolan,25,2000,10/01/2000,1,1,0,2
Anthony Ervin,19,2000,10/01/2000,1,1,0,2
Domenico Fioravanti,23,2000,10/01/2000,2,0,0,2
Grant Hackett,20,2000,10/01/2000,2,0,0,2
Geoff Huegill,21,2000,10/01/2000,0,1,1,2
Leisel Jones,15,2000,10/01/2000,0,2,0,2
Klete Keller,18,2000,10/01/2000,0,1,1,2
Jason Lezak,24,2000,10/01/2000,1,1,0,2
Diana Mocanu,16,2000,10/01/2000,2,0,0,2
Martina Moravcová,24,2000,10/01/2000,0,2,0,2
Ed Moses,20,2000,10/01/2000,1,1,0,2
Diana Munz,18,2000,10/01/2000,1,1,0,2
Mai Nakamura,21,2000,10/01/2000,0,1,1,2
Todd Pearson,22,2000,10/01/2000,2,0,0,2
Adam Pine,24,2000,10/01/2000,1,1,0,2
Claudia Poll,27,2000,10/01/2000,0,0,2,2
Megan Quann-Jendrick,16,2000,10/01/2000,2,0,0,2
Giaan Rooney,17,2000,10/01/2000,0,2,0,2
Courtney Shealy,22,2000,10/01/2000,2,0,0,2
Ashley Tappin,25,2000,10/01/2000,2,0,0,2
Stev Theloke,22,2000,10/01/2000,0,0,2,2
Amy Van Dyken,27,2000,10/01/2000,2,0,0,2
Neil Walker,24,2000,10/01/2000,1,1,0,2
J. R. Celski,19,2010,02/28/2010,0,0,2,2
Charles Hamelin,25,2010,02/28/2010,2,0,0,2
Lee Ho-Seok,23,2010,02/28/2010,0,2,0,2
Park Seung-Hui,17,2010,02/28/2010,0,0,2,2
Katherine Reutter,21,2010,02/28/2010,0,1,1,2
Seong Si-Baek,22,2010,02/28/2010,0,2,0,2
Marianne St-Gelais,19,2010,02/28/2010,0,2,0,2
François-Louis Tremblay,29,2010,02/28/2010,1,0,1,2
Zhou Yang,18,2010,02/28/2010,2,0,0,2
Choi Eun-Gyeong,21,2006,02/26/2006,1,1,0,2
Anouk Leblanc-Boucher,21,2006,02/26/2006,0,1,1,2
François-Louis Tremblay,25,2006,02/26/2006,0,2,0,2
Choi Eun-Gyeong,17,2002,02/24/2002,1,1,0,2
Go Gi-Hyeon,15,2002,02/24/2002,1,1,0,2
Jonathan Guilmette,23,2002,02/24/2002,1,1,0,2
Li Jiajun,26,2002,02/24/2002,0,1,1,2
Apolo Anton Ohno,19,2002,02/24/2002,1,1,0,2
Evgeniya Radanova,24,2002,02/24/2002,0,1,1,2
Mathieu Turcotte,25,2002,02/24/2002,1,0,1,2
Wang Chunlu,23,2002,02/24/2002,0,1,1,2
Yang Yang (S),24,2002,02/24/2002,0,1,1,2
Shani Davis,27,2010,02/28/2010,1,1,0,2
Kristina Groves,33,2010,02/28/2010,0,1,1,2
Chad Hedrick,32,2010,02/28/2010,0,1,1,2
Sven Kramer,23,2010,02/28/2010,1,0,1,2
Lee Seung-Hun,21,2010,02/28/2010,1,1,0,2
Mo Tae-Beom,21,2010,02/28/2010,1,1,0,2
Ivan Skobrev,27,2010,02/28/2010,0,1,1,2
Mark Tuitert,29,2010,02/28/2010,1,0,1,2
Joey Cheek,26,2006,02/26/2006,1,1,0,2
Shani Davis,23,2006,02/26/2006,1,1,0,2
Anni Friesinger-Postma,29,2006,02/26/2006,1,0,1,2
Kristina Groves,29,2006,02/26/2006,0,2,0,2
Clara Hughes,33,2006,02/26/2006,1,1,0,2
Sven Kramer,19,2006,02/26/2006,0,1,1,2
Claudia Pechstein,33,2006,02/26/2006,1,1,0,2
Carl Verheijen,30,2006,02/26/2006,0,0,2,2
Erben Wennemars,30,2006,02/26/2006,0,0,2,2
Ireen Wüst,19,2006,02/26/2006,1,0,1,2
Derek Parra,31,2002,02/24/2002,1,1,0,2
Claudia Pechstein,29,2002,02/24/2002,2,0,0,2
Jennifer Rodriguez,25,2002,02/24/2002,0,0,2,2
Simon Ammann,28,2010,02/28/2010,2,0,0,2
Adam Malysz,32,2010,02/28/2010,0,2,0,2
Matti Hautamäki,24,2006,02/26/2006,0,2,0,2
Andreas Kofler,21,2006,02/26/2006,1,1,0,2
Roar Ljøkelsøy,29,2006,02/26/2006,0,0,2,2
Thomas Morgenstern,19,2006,02/26/2006,2,0,0,2
Simon Ammann,20,2002,02/24/2002,2,0,0,2
Sven Hannawald,27,2002,02/24/2002,1,1,0,2
Matti Hautamäki,20,2002,02/24/2002,0,1,1,2
Adam Malysz,24,2002,02/24/2002,0,1,1,2
Niccolò Campriani,24,2012,08/12/2012,1,1,0,2
Jin Jong-O,32,2012,08/12/2012,2,0,0,2
Olena Kostevych,27,2012,08/12/2012,0,0,2,2
Jin Jong-O,28,2008,08/24/2008,1,1,0,2
Katerina Kurková-Emmons,24,2008,08/24/2008,1,1,0,2
Lyubov Galkina,31,2004,08/29/2004,1,1,0,2
Mariya Grozdeva,32,2004,08/29/2004,1,0,1,2
Lee Bo-Na,23,2004,08/29/2004,0,1,1,2
Mikhail Nestruyev,35,2004,08/29/2004,1,1,0,2
Igor Basinsky,37,2000,10/01/2000,0,1,1,2
Tao Luna,26,2000,10/01/2000,1,1,0,2
Kim Crow,26,2012,08/12/2012,0,1,1,2
Georgeta Damian-Andrunache,32,2008,08/24/2008,1,0,1,2
Viorica Susanu,32,2008,08/24/2008,1,0,1,2
Georgeta Damian-Andrunache,28,2004,08/29/2004,2,0,0,2
Viorica Susanu,28,2004,08/29/2004,2,0,0,2
Georgeta Damian-Andrunache,24,2000,10/01/2000,2,0,0,2
Doina Ignat,31,2000,10/01/2000,2,0,0,2
Pieta van Dishoeck,28,2000,10/01/2000,0,2,0,2
Eeke van Nes,31,2000,10/01/2000,0,2,0,2
Bill Demong,29,2010,02/28/2010,1,1,0,2
Bernhard Gruber,27,2010,02/28/2010,1,0,1,2
Magnus Moan,22,2006,02/26/2006,0,1,1,2
Ronny Ackermann,24,2002,02/24/2002,0,2,0,2
Jaakko Tallus,20,2002,02/24/2002,1,1,0,2
Denis Ablyazin,19,2012,08/12/2012,0,1,1,2
Chen Yibing,27,2012,08/12/2012,1,1,0,2
Gabby Douglas,16,2012,08/12/2012,2,0,0,2
Feng Zhe,24,2012,08/12/2012,2,0,0,2
Sandra Izbasa,22,2012,08/12/2012,1,0,1,2
Viktoriya Komova,17,2012,08/12/2012,0,2,0,2
McKayla Maroney,16,2012,08/12/2012,1,1,0,2
Marcel Nguyen,24,2012,08/12/2012,0,2,0,2
Mariya Paseka,17,2012,08/12/2012,0,1,1,2
Catalina Ponor,24,2012,08/12/2012,0,1,1,2
Louis Smith,23,2012,08/12/2012,0,1,1,2
Max Whitlock,19,2012,08/12/2012,0,0,2,2
Chen Yibing,23,2008,08/24/2008,2,0,0,2
Anton Golotsutskov,23,2008,08/24/2008,0,0,2,2
He Kexin,16,2008,08/24/2008,2,0,0,2
Jonathan Horton,22,2008,08/24/2008,0,1,1,2
Sandra Izbasa,18,2008,08/24/2008,1,0,1,2
Li Xiaopeng,27,2008,08/24/2008,2,0,0,2
Kohei Uchimura,19,2008,08/24/2008,0,2,0,2
Xiao Qin,23,2008,08/24/2008,2,0,0,2
Alexandra Eremia,17,2004,08/29/2004,1,0,1,2
Annia Hatch,26,2004,08/29/2004,0,2,0,2
Terin Humphrey,18,2004,08/29/2004,0,2,0,2
Takehiro Kashima,24,2004,08/29/2004,1,0,1,2
Svetlana Khorkina,25,2004,08/29/2004,0,1,1,2
Courtney Kupets,18,2004,08/29/2004,0,1,1,2
Anna Pavlova,16,2004,08/29/2004,0,0,2,2
Monica Rosu,17,2004,08/29/2004,2,0,0,2
Dana Sofronie,16,2004,08/29/2004,1,1,0,2
Hiroyuki Tomita,23,2004,08/29/2004,1,1,0,2
Marius Urzica,28,2004,08/29/2004,0,1,1,2
Isao Yoneda,26,2004,08/29/2004,1,0,1,2
Yordan Yovchev,31,2004,08/29/2004,0,1,1,2
Oleksandr Beresh,22,2000,10/01/2000,0,1,1,2
Aleksey Bondarenko,22,2000,10/01/2000,0,1,1,2
Lee Ju-Hyeong,27,2000,10/01/2000,0,1,1,2
Li Xiaopeng,19,2000,10/01/2000,2,0,0,2
Liu Xuan,21,2000,10/01/2000,1,0,1,2
Maria Olaru,18,2000,10/01/2000,1,1,0,2
Yelena Produnova,20,2000,10/01/2000,0,1,1,2
Andreea Raducan,16,2000,10/01/2000,1,1,0,2
Yang Wei,20,2000,10/01/2000,1,1,0,2
Yordan Yovchev,27,2000,10/01/2000,0,0,2,2
Elisa Di Francisca,29,2012,08/12/2012,2,0,0,2
Arianna Errigo,24,2012,08/12/2012,1,1,0,2
Diego Occhiuzzi,31,2012,08/12/2012,0,1,1,2
Sun Yujie,19,2012,08/12/2012,1,0,1,2
Valentina Vezzali,38,2012,08/12/2012,1,0,1,2
Stefano Carozzo,29,2008,08/24/2008,0,0,2,2
Margherita Granbassi,28,2008,08/24/2008,0,0,2,2
Sada Jacobson,25,2008,08/24/2008,0,1,1,2
Fabrice Jeannet,27,2008,08/24/2008,1,1,0,2
Nicolas Lopez,27,2008,08/24/2008,1,1,0,2
Matteo Tagliariol,25,2008,08/24/2008,1,0,1,2
Valentina Vezzali,34,2008,08/24/2008,1,0,1,2
Becca Ward,18,2008,08/24/2008,0,0,2,2
Mariel Zagunis,23,2008,08/24/2008,1,0,1,2
Andrea Cassarà,20,2004,08/29/2004,1,0,1,2
Laura Flessel-Colovic,32,2004,08/29/2004,0,1,1,2
Aldo Montano,25,2004,08/29/2004,1,1,0,2
Maureen Nisima,23,2004,08/29/2004,0,0,2,2
Salvatore Sanzo,28,2004,08/29/2004,1,1,0,2
Mathieu Gourdain,26,2000,10/01/2000,0,2,0,2
Gianna Hablützel-Bürki,30,2000,10/01/2000,0,2,0,2
Rita König,23,2000,10/01/2000,0,1,1,2
Wiradech Kothny,21,2000,10/01/2000,0,0,2,2
Hugues Obry,27,2000,10/01/2000,0,2,0,2
Giovanna Trillini,30,2000,10/01/2000,1,0,1,2
Valentina Vezzali,26,2000,10/01/2000,2,0,0,2
Sandra Auffarth,25,2012,08/12/2012,1,0,1,2
Laura Bechtolsheimer,27,2012,08/12/2012,1,0,1,2
Adelinde Cornelissen,33,2012,08/12/2012,0,1,1,2
Charlotte Dujardin,27,2012,08/12/2012,2,0,0,2
Michael Jung,29,2012,08/12/2012,2,0,0,2
Gerco Schröder,34,2012,08/12/2012,0,2,0,2
Tina Cook,37,2008,08/24/2008,0,0,2,2
Heike Kemmer,46,2008,08/24/2008,1,0,1,2
Eric Lamaze,40,2008,08/24/2008,1,1,0,2
Beezie Madden,44,2008,08/24/2008,1,0,1,2
Hinrich Romeike,45,2008,08/24/2008,2,0,0,2
Anky van Grunsven,40,2008,08/24/2008,1,1,0,2
Isabell Werth,39,2008,08/24/2008,1,1,0,2
Beatriz Ferrer-Salat,38,2004,08/29/2004,0,1,1,2
Pippa Funnell,35,2004,08/29/2004,0,1,1,2
Chris Kappler,37,2004,08/29/2004,1,1,0,2
Marco Kutscher,29,2004,08/29/2004,0,0,2,2
Leslie Law,39,2004,08/29/2004,1,1,0,2
Ulla Salzgeber,46,2004,08/29/2004,1,1,0,2
Kim Severson,30,2004,08/29/2004,0,1,1,2
Andrew Hoy,41,2000,10/01/2000,1,1,0,2
David O'Connor,38,2000,10/01/2000,1,0,1,2
Ulla Salzgeber,42,2000,10/01/2000,1,0,1,2
Anky van Grunsven,32,2000,10/01/2000,1,1,0,2
Isabell Werth,31,2000,10/01/2000,1,1,0,2
David Boudia,23,2012,08/12/2012,1,0,1,2
Chen Ruolin,19,2012,08/12/2012,2,0,0,2
He Zi,21,2012,08/12/2012,1,1,0,2
Qin Kai,26,2012,08/12/2012,1,1,0,2
Wu Minxia,26,2012,08/12/2012,2,0,0,2
Ilya Zakharov,21,2012,08/12/2012,1,1,0,2
Chen Ruolin,15,2008,08/24/2008,2,0,0,2
Gleb Galperin,25,2008,08/24/2008,0,0,2,2
Guo Jingjing,26,2008,08/24/2008,2,0,0,2
Yuliya Pakhalina,30,2008,08/24/2008,0,2,0,2
Qin Kai,22,2008,08/24/2008,1,0,1,2
Wang Xin,16,2008,08/24/2008,1,0,1,2
Wu Minxia,22,2008,08/24/2008,1,0,1,2
Guo Jingjing,22,2004,08/29/2004,2,0,0,2
Mathew Helm,23,2004,08/29/2004,0,1,1,2
Lao Lishi,16,2004,08/29/2004,1,1,0,2
