Competitor,Division,Stack,Time,Type,Location
William Orrell,11-12 M,3/3/03,1.85,sanctioned,WSSA 1st Annual Speed Cup (Closed Event)
William Orrell,11-12 M,cycle,6.49,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,11-12 M,3/3/03,1.75,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,11-12 M,3/6/03,2.22,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,11-12 M,cycle,6.15,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,11-12 M,3/3/03,1.97,sanctioned,
William Orrell,11-12 M,3/6/03,2.46,sanctioned,
William Orrell,11-12 M,cycle,6.81,sanctioned,
William Orrell,9-10 M,cycle,8.22,sanctioned,
Josh Hainsel,13-14 M,3/3/03,1.477,sanctioned,WSSA 2015 US National Sport Stacking Championships / Washington State Open
Josh Hainsel,13-14 M,cycle,5.216,sanctioned,WSSA 2015 US National Sport Stacking Championships / Washington State Open
Josh Hainsel,13-14 M,3/6/03,1.84,sanctioned,WSSA Great Lakes Regional & Hoosier State Sport Stacking Championships
Josh Hainsel,13-14 M,3/3/03,1.499,sanctioned,WSSA St. Louis Open Cornucopia of Cups Tournament
Josh Hainsel,13-14 M,cycle,5.296,sanctioned,WSSA Upper Atlantic Regional Sport Stacking Championships
Josh Hainsel,13-14 M,cycle,5.45,sanctioned,WSSA 2014 World Sport Stacking Championships
Josh Hainsel,13-14 M,cycle,5.524,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Josh Hainsel,13-14 M,3/3/03,1.542,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Josh Hainsel,13-14 M,cycle,5.524,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Josh Hainsel,11-12 M,3/6/03,2.078,sanctioned,WSSA 2013 World Sport Stacking Championships
Josh Hainsel,11-12 M,3/3/03,1.645,sanctioned,WSSA 2013 US National Sport Stacking Championships / Maryland Open
Josh Hainsel,11-12 M,3/6/03,2.085,sanctioned,WSSA 2013 US National Sport Stacking Championships / Maryland Open
Josh Hainsel,11-12 M,cycle,5.792,sanctioned,WSSA 2013 US National Sport Stacking Championships / Maryland Open
Josh Hainsel,11-12 M,cycle,5.869,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Josh Hainsel,11-12 M,3/3/03,1.705,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Josh Hainsel,11-12 M,3/6/03,2.129,sanctioned,WSSA 2013 Georgia State Sport Stacking Championships
Josh Hainsel,11-12 M,3/3/03,1.75,sanctioned,WSSA 5th Annual Connecticut Sport Stacking Championships
Josh Hainsel,11-12 M,Cycle,6.31,sanctioned,WSSA 2012 US National Sport Stacking Championships/Colorado Open
Josh Hainsel,11-12 M,Cycle,6.52,sanctioned,WSSA 4th Annual Peidmont-Triad Sport Stacking Invitational
Josh Hainsel,11-12 M,Cycle,6.36,sanctioned,WSSA 4th Annual Peidmont-Triad Sport Stacking Invitational
Emma Slabach,9-10 F,Cycle,6.94,sanctioned,WSSA 2011 World Sport Stacking Championships
Emma Slabach,9-10 F,3/3/03,2.13,sanctioned,WSSA 2011 World Sport Stacking Championships
Emma Slabach,9-10 F,3/6/03,2.75,sanctioned,
Emma Slabach,9-10 F,Cycle,7.65,sanctioned,
Emma Slabach,7-8 F,3/3/03,2.41,sanctioned,
Emma Slabach,7-8 F,3/6/03,2.68,sanctioned,
Emma Slabach,7-8 F,Cycle,7.71,sanctioned,
Emma Slabach,6U F,3/3/03,3.65,sanctioned,
Emma Slabach,6U F,3/6/03,4.81,sanctioned,
Emma Slabach,6U F,Cycle,13.89,sanctioned,
Emma Slabach,6U F,3/3/03,2.66,sanctioned,
Mary Ann Orrell,17-18 F,3/6/03,3.568,sanctioned,WSSA Girls Incorporated of Columbus and Phenix-Russell Open Sport Stacking Tournament
Mary Ann Orrell,17-18 F,3/3/03,2.88,sanctioned,WSSA 2014 AAU Junior Olympic Games Sport Stacking Championships
Mary Ann Orrell,17-18 F,3/6/03,3.785,sanctioned,WSSA Piedmont Triad Sport Stacking Invitational
Mary Ann Orrell,17-18 F,3/3/03,3.003,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Mary Ann Orrell,17-18 F,cycle,9.666,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Mary Ann Orrell,15-16 F,3/3/03,3.039,sanctioned,WSSA 2013 AAU Junior Olympic Games Sport Stacking Championships
Mary Ann Orrell,15-16 F,3/3/03,3.145,sanctioned,WSSA 5th Annual Piedmont Triad Sport Stacking Invitiational
Mary Ann Orrell,15-16 F,cycle,10.18,sanctioned,2012 WSSA AAU Junior Olympic Games Sport Stacking Championships
Mary Ann Orrell,15-16 F,3/3/03,3.34,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Mary Ann Orrell,15-16 F,3/6/03,4.31,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Mary Ann Orrell,15-16 F,Cycle,11.44,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Mary Ann Orrell,13-14 F,Cycle,12.94,sanctioned,WSSA Lady's Island Stacking Invitational
Mary Ann Orrell,13-14 F,3/3/03,3.53,sanctioned,WSSA Lady's Island Stacking Invitational
Mary Ann Orrell,13-14 F,3/6/03,4.56,sanctioned,WSSA Lady's Island Stacking Invitational
Mary Ann Orrell,13-14 F,3/3/03,3.52,sanctioned,WSSA 3rd Annual Piedmont-Triad Sport Stacking Invitational Sanctioned Tournamen
Daniel Hong,9-10 M,3/6/03,2.591,sanctioned,WSSA 2013 US National Sport Stacking Championships / Maryland Open
Daniel Hong,9-10 M,cycle,7.086,sanctioned,WSSA 5th Annual Piedmont Triad Sport Stacking Invitiational
Daniel Hong,9-10 M,cycle,7.309,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Daniel Hong,9-10 M,3/3/03,1.937,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Daniel Hong,9-10 M,3/3/03,2.08,sanctioned,WSSA 2012 Georgia State Sport Stacking Championship
Daniel Hong,7-8 M,3/3/03,1.97,sanctioned,WSSA 2011 World Sport Stacking Championships
Daniel Hong,7-8 M,Cycle,7.44,sanctioned,WSSA 3rd Annual Piedmont-Triad Sport Stacking Invitational Sanctioned Tournament
Daniel Hong,7-8 M,3/3/03,2.03,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Daniel Hong,7-8 M,3/6/03,2.56,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Daniel Hong,7-8 M,Cycle,7.38,sanctioned,WSSA Southeast Regional Sport Stacking Championships
Daniel Hong,7-8 M,3/3/03,2.09,sanctioned,WSSA Mid-Atlantic Regional Sport Stacking Championships
Daniel Hong,7-8 M,3/3/03,2.21,sanctioned,
Daniel Hong,7-8 M,3/6/03,2.75,sanctioned,
Daniel Hong,7-8 M,Cycle,7.65,sanctioned,
Daniel Hong,6U M,3/6/03,3.31,sanctioned,
Daniel Hong,6U M,Cycle,9.49,sanctioned,
Tony Sena,9-10 M,3/3/03,1.839,sanctioned,WSSA Girls Incorporated of Columbus and Phenix-Russell Open Sport Stacking Tournament
Tony Sena,9-10 M,3/3/03,1.839,sanctioned,WSSA Girls Incorporated of Columbus and Phenix-Russell Open Sport Stacking Tournament
Oscor Villanvera,Collegiate M,3/3/03,3.137,sanctioned,WSSA Piedmont Triad Sport Stacking Invitational
Oscor Villanvera,Collegiate M,3/6/03,5.162,sanctioned,WSSA Piedmont Triad Sport Stacking Invitational
Oscor Villanvera,Collegiate M,cycle,11.183,sanctioned,WSSA Piedmont Triad Sport Stacking Invitational
Sungpil Hong,Masters 2 M,Cycle,10.34,sanctioned,WSSA Jacobsville Sport Stacking Championships (Closed Event)
Sungpil Hong,Masters 2 M,3/3/03,2.77,sanctioned,WSSA School District of Philadelphia
Sungpil Hong,Masters 2 M,Cycle,10.47,sanctioned,WSSA 2011 World Sport Stacking Championships
Sungpil Hong,Masters 2 M,3/6/03,3.47,sanctioned,WSSA 2011 World Sport Stacking Championships
Sungpil Hong,Masters 2 M,3/3/03,2.78,sanctioned,
Sungpil Hong,Masters 2 M,3/6/03,3.55,sanctioned,
Sungpil Hong,Masters 2 M,Cycle,10.53,sanctioned,
Bryan Hainsel,Masters 3 M,3/3/03,3.01,sanctioned,WSSA Great Lakes Regional & Hoosier State Sport Stacking Championships
Bryan Hainsel,Masters 3 M,3/6/03,4.096,sanctioned,WSSA Great Lakes Regional & Hoosier State Sport Stacking Championships
Bryan Hainsel,Masters 3 M,cycle,12.453,sanctioned,WSSA Great Lakes Regional & Hoosier State Sport Stacking Championships
Bryan Hainsel,Masters 3 M,3/6/03,4.054,sanctioned,WSSA 2015 World Sport Stacking Championships
Bryan Hainsel,Masters 3 M,3/3/03,3.064,sanctioned,WSSA Upper Atlantic Regional Sport Stacking Championships
Bryan Hainsel,Masters 3 M,cycle,12.478,sanctioned,WSSA Upper Atlantic Regional Sport Stacking Championships
Bryan Hainsel,Masters 3 M,3/6/03,4.319,sanctioned,WSSA 2014 AAU Junior Olympic Games Sport Stacking Championships
Bryan Hainsel,Masters 3 M,cycle,17.492,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Bryan Hainsel,Masters 3 M,3/6/03,4.825,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
Bryan Hainsel,Masters 3 M,3/3/03,3.461,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
