Transaction ID,Age , Items ,Monthly Income,Transaction Time,Record,Gender,City Tier,Total Spend
TXN095,24,12,26725,330.5993124,1,Male,Tier 2,5526.680195
TXN096,23,3,18145,281.338238,1,Male,Tier 3,3784.672876
TXN097,47,1,27518,298.4889008,1,Female,Tier 2,5004.192819
TXN098,36,12,10394,411.2169342,2,Male,Tier 2,3250.24677
TXN099,23,7,8538,655.2614839,9,Male,Tier 1,8882.316038
TXN100,22,8,3975,514.3819838,4,Male,Tier 1,2991.984904
TXN101,55,12,5631,60.32929818,1,Female,Tier 1,2304.702827
TXN102,32,11,20914,692.2291919,3,Male,Tier 2,5143.703914
TXN103,24,11,7724,820.8025651,3,Male,Tier 1,3193.602793
TXN104,59,10,24638,731.6518536,7,Female,Tier 3,8531.774694
TXN105,44,2,10406,839.6467903,0,Male,Tier 2,2748.309663
TXN106,59,8,11030,947.9699603,6,Female,Tier 2,5464.923804
TXN107,50,15,11332,383.8440762,7,Female,Tier 3,6728.85973
TXN108,30,11,21314,571.6913407,4,Female,Tier 2,5417.42249
TXN109,51,8,17114,563.2150484,9,Female,Tier 1,10119.142
TXN110,55,13,13744,129.2391421,1,Female,Tier 1,3522.739407
TXN111,36,6,8616,213.11244,8,Male,Tier 1,7577.553893
TXN112,41,2,22530,257.2322863,7,Male,Tier 2,8141.176794
TXN113,53,15,5233,841.3040434,2,Male,Tier 1,2855.184969
TXN114,57,13,29521,186.5861189,7,Female,Tier 2,9423.882179
TXN115,28,5,2465,561.0826765,7,Female,Tier 1,4914.296932
TXN116,24,3,22983,305.2557013,1,Male,Tier 3,4469.916378
TXN117,29,5,28459,837.4548161,0,Female,Tier 2,5286.146138
TXN118,41,15,9526,247.7978222,7,Female,Tier 1,6488.953994
TXN119,55,6,9449,891.0064016,3,Female,Tier 2,3024.917005
TXN120,51,15,2317,575.4527271,8,Male,Tier 1,7080.843978
TXN121,58,12,13284,844.3243879,4,Male,Tier 1,4768.857262
TXN122,57,8,17612,100.8948514,1,Female,Tier 1,3834.186901
TXN123,24,2,18087,567.6924675,7,Female,Tier 2,7106.105559
TXN124,35,6,10027,160.5120791,4,Male,Tier 1,3920.207101
TXN125,51,3,23777,797.9162458,1,Male,Tier 3,4895.745731
TXN126,41,13,8053,417.6391486,4,Male,Tier 3,3817.636449
TXN127,55,9,12164,255.4873396,6,Female,Tier 3,5549.081284
TXN128,25,13,8032,39.97374072,0,Female,Tier 1,2387.977479
TXN129,23,9,14088,622.6945822,7,Male,Tier 3,7047.271755
TXN130,50,7,14016,261.4272831,5,Female,Tier 3,4795.797168
TXN131,60,10,6227,343.4691083,10,Female,Tier 3,10097.10473
TXN132,52,12,3395,954.7963914,7,Female,Tier 3,5365.885323
TXN133,45,5,17328,468.4562422,7,Male,Tier 3,7384.911149
TXN134,46,7,20299,758.9343549,6,Male,Tier 3,6947.614767
TXN135,23,8,11948,302.6551191,9,Male,Tier 1,9494.269377
TXN136,39,11,2504,901.4834724,2,Female,Tier 2,1789.835448
TXN137,41,2,15705,416.5759568,4,Female,Tier 1,4415.325749
TXN138,32,15,23446,137.6173473,8,Female,Tier 3,9670.060331
TXN139,35,8,10663,305.3620631,4,Male,Tier 2,3922.537837
TXN140,53,7,19138,185.3160937,9,Female,Tier 3,10097.46589
TXN141,27,11,4022,603.1574136,0,Male,Tier 3,2049.343067
TXN142,56,2,14884,253.2459731,8,Male,Tier 2,8310.247268
TXN143,55,11,11544,1.61937959,3,Male,Tier 1,3786.113789
TXN144,55,2,23058,230.0222757,5,Female,Tier 3,6111.539066
TXN145,49,11,29433,510.245721,0,Male,Tier 2,5915.727937
TXN146,59,7,2572,675.7220234,3,Male,Tier 1,2429.35573
TXN147,30,9,19505,328.9586339,2,Male,Tier 1,4553.2038
TXN148,50,3,20498,599.5751101,0,Female,Tier 2,4052.48436
TXN149,43,5,22714,435.0381182,8,Male,Tier 2,9620.245744
TXN150,35,2,13815,795.6463527,5,Female,Tier 1,4810.984084
TXN151,26,13,14609,794.1907478,7,Male,Tier 2,7437.986728
TXN152,38,9,18043,189.4093232,7,Male,Tier 1,7776.834381
TXN153,28,14,8994,683.4347657,5,Female,Tier 2,4265.231784
TXN154,49,8,11677,896.8238614,8,Male,Tier 1,8246.113728
TXN155,31,2,21656,188.0977336,7,Female,Tier 3,7557.482602
TXN156,40,2,17261,723.649584,5,Male,Tier 1,5649.764909
TXN157,43,11,28935,411.9587374,4,Female,Tier 2,6710.3417
TXN158,44,7,28742,878.6821627,7,Female,Tier 3,8962.327427
TXN159,22,7,10906,354.1107667,0,Female,Tier 2,2627.813913
TXN160,29,4,26818,170.6686943,7,Female,Tier 1,8473.559633
TXN161,55,9,9038,164.2728953,1,Male,Tier 1,2968.256591
TXN162,59,2,23943,181.4021941,4,Male,Tier 2,5823.920582
TXN163,46,11,19988,702.239928,8,Female,Tier 1,9156.141565
TXN164,30,2,4675,812.3704989,6,Male,Tier 2,4404.96976
TXN165,47,7,22016,964.7924533,7,Female,Tier 3,7905.487636
TXN166,23,7,27355,840.8762943,5,Female,Tier 1,6846.385288
TXN167,39,11,28891,946.9983561,2,Male,Tier 1,6118.024594
TXN168,38,4,16473,495.7043047,3,Male,Tier 3,4290.051192
TXN169,46,14,25843,146.7442845,2,Male,Tier 3,5651.84579
TXN170,25,2,28721,700.1972255,5,Female,Tier 2,6806.334115
TXN171,32,3,4867,988.9267244,6,Female,Tier 1,4273.310757
TXN172,24,6,10418,814.3958645,6,Male,Tier 1,5442.527902
TXN173,49,5,28885,517.1430532,4,Male,Tier 3,6726.717398
TXN174,32,10,10240,18.11591335,4,Male,Tier 3,3863.412352
TXN175,27,14,11754,400.4583506,9,Male,Tier 3,9520.33031
TXN176,41,2,27411,383.646338,2,Female,Tier 2,5279.782777
TXN177,31,6,9503,151.3843559,10,Female,Tier 1,10456.92406
TXN178,24,6,8711,516.3832446,7,Male,Tier 1,6261.59146
TXN179,30,12,17226,804.9201957,4,Male,Tier 3,5136.081611
TXN180,47,12,14257,511.8722407,10,Male,Tier 1,11690.93212
TXN181,29,9,13564,878.0665013,4,Female,Tier 1,4284.55907
TXN182,48,12,24384,851.8830411,5,Female,Tier 2,6599.300074
TXN183,54,1,3920,884.6283691,0,Male,Tier 3,1722.676086
TXN184,43,8,12341,700.6750247,3,Female,Tier 2,3566.280587
TXN185,41,13,28790,633.858092,8,Male,Tier 2,10714.99222
TXN186,31,15,12169,921.4646239,8,Male,Tier 2,8229.09088
TXN187,36,15,22501,258.5653282,5,Male,Tier 2,6633.069106
TXN188,30,9,20570,404.7086342,3,Male,Tier 1,5187.79317
TXN189,43,2,11377,313.5401057,4,Female,Tier 1,3654.785639
TXN190,59,11,15561,24.12251539,5,Female,Tier 1,5388.054336
TXN191,55,2,22925,875.0151861,5,Male,Tier 1,6453.613636
TXN192,29,1,4119,209.4278015,4,Female,Tier 3,2307.559762
TXN193,22,7,18088,190.3582708,5,Male,Tier 1,5757.819252
TXN194,53,5,25384,321.7782111,7,Female,Tier 3,8472.999909
TXN195,50,9,25885,920.2580374,7,Female,Tier 1,8838.785208
TXN196,46,14,4593,201.031705,9,Female,Tier 2,8258.25103
TXN197,57,14,29584,754.7722381,3,Female,Tier 3,6368.960515
TXN198,59,9,22227,455.5308111,9,Female,Tier 1,10899.87635
TXN199,52,14,17014,559.7333829,2,Male,Tier 3,4352.637792
TXN200,57,10,7660,516.6888912,3,Female,Tier 3,2879.901835
TXN201,21,10,5310,240.693042,7,Female,Tier 1,5585.290599
TXN202,35,5,20509,904.5681192,1,Male,Tier 1,4480.994128
TXN203,52,14,17312,438.1408259,6,Female,Tier 3,6520.705718
TXN204,26,8,5352,626.0509517,5,Female,Tier 3,3465.123045
TXN205,43,8,21449,170.9359826,1,Male,Tier 1,4769.633349
TXN206,38,14,9485,999.1411072,1,Male,Tier 3,3003.712683
TXN207,59,2,5590,515.6025897,9,Female,Tier 1,8203.706083
TXN208,34,7,16724,453.4296957,10,Female,Tier 1,11477.71696
TXN209,22,6,21287,764.6972757,7,Female,Tier 3,7754.0432
TXN210,22,4,20643,760.1319099,1,Female,Tier 1,4198.538896
TXN211,42,9,16733,847.505523,9,Male,Tier 3,10301.73883
TXN212,45,1,25103,97.65546234,4,Male,Tier 2,5872.025983
TXN213,49,1,27545,62.8872376,0,Male,Tier 1,5234.606252
TXN214,24,1,23579,688.73196,0,Male,Tier 1,4627.655024
TXN215,41,6,9036,631.9846231,0,Female,Tier 2,2380.470651
TXN216,48,6,18257,417.6135373,10,Female,Tier 1,11743.09342
TXN217,54,11,11732,311.5926134,7,Male,Tier 1,7094.802961
TXN218,22,8,3484,907.2737284,0,Female,Tier 3,1480.373834
TXN219,26,12,16400,503.5449083,5,Female,Tier 1,5496.865898
TXN220,32,2,27136,961.2185551,2,Male,Tier 2,5474.421886
TXN221,34,13,9589,387.1476067,3,Female,Tier 1,3357.716581
TXN222,41,8,23971,628.1945444,7,Female,Tier 3,8174.103662
TXN223,55,12,7083,708.5028353,2,Male,Tier 2,2912.22383
TXN224,40,3,23762,454.2236657,4,Male,Tier 3,5838.633304
TXN225,59,12,10912,308.2873463,8,Male,Tier 3,8060.988583
TXN226,20,1,17881,901.7345599,2,Male,Tier 1,4139.397542
TXN227,42,9,3054,985.5960212,4,Male,Tier 3,2967.076223
TXN228,35,15,13865,821.7372031,7,Female,Tier 2,6998.867541
TXN229,27,15,16055,150.1579357,8,Male,Tier 2,8746.197842
TXN230,28,7,3026,810.0731373,10,Female,Tier 2,9453.218385
TXN231,51,5,20906,762.3126997,8,Male,Tier 2,9350.406328
TXN232,52,13,29850,543.5864632,8,Female,Tier 1,10876.31988
TXN233,43,10,13829,994.9860702,3,Female,Tier 2,3776.710623
TXN234,44,11,9313,738.8793091,4,Female,Tier 2,3748.413679
TXN235,41,13,18241,79.83753132,9,Female,Tier 3,10167.34528
TXN236,23,8,23997,64.37295477,8,Female,Tier 3,9245.713357
TXN237,38,6,25051,823.0653025,1,Female,Tier 1,4999.193429
TXN238,44,7,7755,474.3519604,1,Male,Tier 2,2536.86007
TXN239,33,11,3047,572.2749952,6,Female,Tier 3,4133.554823
TXN240,55,7,25867,804.3145743,0,Male,Tier 2,5412.592594
TXN241,35,7,2229,316.0008544,2,Male,Tier 2,1943.058497
TXN242,32,5,10342,184.4683417,1,Male,Tier 1,2828.892184
TXN243,38,14,24918,417.7449722,8,Female,Tier 2,9924.084136
TXN244,28,12,12643,0.516646732,5,Female,Tier 1,4571.431446
TXN245,46,4,17988,668.7538857,1,Male,Tier 3,3903.726632
TXN246,59,1,12579,722.3723796,4,Male,Tier 1,4173.332442
TXN247,31,3,25252,664.3844394,0,Male,Tier 3,4869.041945
TXN248,54,11,11743,851.3346683,0,Female,Tier 3,3106.460032
TXN249,32,12,24812,550.0755894,2,Female,Tier 3,5166.581908
TXN250,31,5,14222,140.1200464,8,Female,Tier 2,7874.24304
TXN251,46,4,28865,45.0482773,10,Male,Tier 2,13365.58378
TXN252,55,9,7570,184.2939867,4,Female,Tier 3,3336.657445
TXN253,40,12,8668,337.0196002,7,Female,Tier 3,6054.609762
TXN254,47,11,27167,379.597181,0,Female,Tier 1,5454.982298
TXN255,57,1,29133,752.0577383,1,Female,Tier 2,5375.575118
TXN256,25,12,14540,661.5523628,10,Female,Tier 2,11207.52238
TXN257,58,14,13629,688.8650795,5,Male,Tier 1,5616.825494
TXN258,20,7,8196,30.7850999,10,Male,Tier 2,10255.70002
TXN259,24,10,4976,979.3078695,8,Male,Tier 3,7007.784937
TXN260,32,7,24120,513.2723475,9,Male,Tier 2,11292.00936
TXN261,60,9,13642,612.9541332,5,Female,Tier 1,5176.704875
TXN262,34,2,14171,938.4221987,4,Male,Tier 2,4295.496156
TXN263,37,1,20375,630.9310353,3,Male,Tier 2,4666.827112
TXN264,30,3,29109,324.4163844,8,Male,Tier 1,10490.75329
TXN265,33,12,19171,470.1028118,0,Female,Tier 2,4023.869285
TXN266,49,7,15454,224.0065139,1,Male,Tier 3,3723.126065
TXN267,46,12,28696,66.8251899,2,Male,Tier 1,6175.633691
TXN268,46,12,22952,641.7329816,1,Male,Tier 2,5116.535436
TXN269,58,3,2138,958.7895784,2,Male,Tier 2,1813.612001
TXN270,45,7,2596,770.7365774,3,Male,Tier 1,2454.66952
TXN271,30,6,19226,269.3542661,5,Male,Tier 1,5974.594463
TXN272,31,5,25605,314.2573569,4,Female,Tier 3,5763.084874
TXN273,21,9,12893,152.2330955,7,Male,Tier 1,6918.845154
TXN274,28,11,13017,695.1022261,10,Female,Tier 2,11093.22083
TXN275,39,3,6100,143.2177603,2,Male,Tier 1,2470.339359
TXN276,49,10,14726,275.0296613,7,Female,Tier 1,7113.482199
TXN277,40,6,11836,581.0104975,2,Male,Tier 1,3502.558069
TXN278,51,14,26481,320.5702227,9,Female,Tier 3,11594.71689
TXN279,47,8,2530,151.0807991,7,Female,Tier 3,5072.065173
TXN280,34,6,11562,578.1350909,4,Female,Tier 1,3884.109262
TXN281,43,4,27679,846.5106894,1,Female,Tier 3,5202.613245
TXN282,47,8,25662,631.3231626,0,Male,Tier 2,5224.325172
TXN283,41,10,6570,58.0828991,8,Female,Tier 2,6958.197841
TXN284,57,7,3312,103.745709,6,Female,Tier 1,4189.14136
TXN285,50,6,11186,941.1138216,9,Female,Tier 3,9027.23879
TXN286,29,10,15947,625.3984138,0,Male,Tier 2,3811.665678
TXN287,35,1,29244,189.7293864,3,Female,Tier 2,5681.992383
TXN288,57,1,29632,144.7956184,3,Female,Tier 3,5801.454465
TXN289,22,8,7517,374.5761246,6,Male,Tier 3,4929.648355
TXN290,28,1,21794,348.8363037,0,Female,Tier 2,4103.362168
TXN291,21,10,16566,894.583546,4,Female,Tier 3,4530.668419
TXN292,31,10,28576,26.66418542,1,Female,Tier 3,5282.992832
TXN293,36,8,4725,495.744702,5,Female,Tier 2,3433.937885
TXN294,49,7,24106,237.0085013,7,Female,Tier 2,8303.020638
TXN295,38,1,21598,531.8357172,5,Male,Tier 1,6076.939827
TXN296,46,6,11947,805.5306118,4,Male,Tier 3,4258.264534
TXN297,22,11,27060,780.5797027,2,Male,Tier 3,5726.981396
TXN298,52,14,15568,476.2116791,4,Female,Tier 3,4639.586333
TXN299,43,13,14903,637.1525305,5,Female,Tier 2,5368.536418
TXN300,44,3,27199,818.1555714,3,Female,Tier 2,5503.712512
TXN301,32,7,29049,550.7862194,0,Female,Tier 1,5519.448307
TXN302,46,4,10193,902.5558215,2,Male,Tier 3,2912.237078
TXN303,32,10,8243,404.7700615,2,Male,Tier 2,2838.910509
TXN304,35,1,23949,767.7012039,6,Male,Tier 1,7301.613568
TXN305,44,10,17466,408.6644408,1,Male,Tier 2,4064.036685
TXN306,29,11,14693,282.8332265,10,Male,Tier 2,11542.56901
TXN307,35,10,17221,792.6920339,9,Male,Tier 2,10348.03502
TXN308,45,5,7589,146.0184772,6,Female,Tier 1,4803.535127
TXN309,42,1,16183,205.8532126,6,Male,Tier 2,6176.550111
TXN310,57,6,9283,286.3936654,2,Female,Tier 1,2888.886012
TXN311,48,10,3611,180.5452446,8,Male,Tier 2,6772.601618
TXN312,37,2,16285,563.8159942,2,Female,Tier 2,3518.60341
TXN313,45,4,24221,562.5960482,8,Male,Tier 2,9831.462681
TXN314,21,15,28115,219.4656766,5,Female,Tier 2,7130.048738
TXN315,26,1,14906,519.5393772,3,Male,Tier 3,3774.04077
TXN316,25,6,14028,281.0063943,0,Male,Tier 3,3297.07162
TXN317,35,3,3147,436.5033945,8,Female,Tier 1,6299.341775
TXN318,33,3,8540,222.8707889,2,Female,Tier 1,2340.544986
TXN319,20,7,16357,909.0172229,3,Male,Tier 3,4335.986134
TXN320,25,8,22417,99.27247019,9,Female,Tier 2,10629.20746
TXN321,36,14,6894,588.4769627,2,Female,Tier 2,2666.812618
TXN322,55,12,17479,191.5801857,10,Female,Tier 2,11834.55102
TXN323,21,9,29226,301.3681177,7,Female,Tier 3,8978.453976
TXN324,20,12,3776,345.2433464,5,Female,Tier 1,3594.874609
TXN325,25,6,22879,186.5287999,7,Male,Tier 3,8089.568836
TXN326,60,3,24998,150.1275572,2,Female,Tier 3,4919.085713
TXN327,47,7,15864,289.9410809,2,Female,Tier 3,3613.570646
TXN328,30,10,18149,197.5279477,5,Male,Tier 3,5793.574932
TXN329,33,3,18009,693.1836435,0,Male,Tier 1,3986.434831
TXN330,33,12,14270,906.6231233,1,Female,Tier 2,3477.242679
TXN331,30,6,8558,123.746949,2,Male,Tier 3,2619.693121
TXN332,41,12,26959,441.7060407,10,Female,Tier 3,13228.8293
TXN333,54,13,9537,375.4135134,7,Female,Tier 3,6379.645236
TXN334,55,15,11882,61.34812603,1,Female,Tier 1,3298.08013
TXN335,60,12,13737,939.4577314,10,Male,Tier 2,11617.30369
TXN336,45,15,11594,262.5620081,8,Male,Tier 3,8160.316201
TXN337,23,2,8596,557.3159287,5,Male,Tier 3,4063.672222
TXN338,54,7,8323,549.7128025,1,Female,Tier 2,2325.463585
TXN339,57,1,10828,253.7835849,4,Male,Tier 1,4020.252681
TXN340,46,7,6772,274.0555479,5,Male,Tier 3,4075.245937
TXN341,26,5,21660,135.6785598,6,Female,Tier 2,6665.995468
TXN342,42,2,18286,70.25932532,8,Male,Tier 3,8686.86341
TXN343,39,11,22716,90.08188291,1,Male,Tier 3,4738.863746
TXN344,28,2,5435,503.9086824,8,Female,Tier 2,6441.778197
TXN345,53,8,20529,102.2098048,1,Male,Tier 2,4562.299256
TXN346,54,8,18607,251.8433272,10,Female,Tier 3,11875.62901
TXN347,26,7,24021,471.4828757,6,Female,Tier 3,7077.240938
TXN348,49,9,28945,111.5423851,2,Female,Tier 3,5677.233664
TXN349,37,2,7627,829.6882465,4,Male,Tier 2,3333.547822
TXN350,52,6,27767,709.510043,8,Male,Tier 2,10309.43887
TXN351,35,10,18023,973.3538798,10,Female,Tier 1,11845.74304
TXN352,28,10,3238,829.8958677,5,Male,Tier 3,3494.264437
TXN353,52,4,19155,376.4594287,0,Female,Tier 3,3825.821818
TXN354,60,14,8065,235.1252288,4,Female,Tier 1,3802.486252
TXN355,46,4,20226,371.123193,3,Female,Tier 2,4515.430732
TXN356,23,15,7073,944.3959767,8,Female,Tier 3,7091.758426
TXN357,58,9,5589,684.8996451,0,Male,Tier 2,2428.912694
TXN358,52,4,20630,874.1231895,1,Male,Tier 3,4332.657264
TXN359,30,2,11371,826.3287514,10,Female,Tier 3,10411.83125
TXN360,57,10,24425,78.33056955,6,Female,Tier 3,7287.887474
TXN361,50,6,20384,430.1603865,5,Female,Tier 3,5864.625118
TXN362,59,5,20385,337.9553478,10,Female,Tier 3,12060.10189
TXN363,39,7,28206,316.7116947,10,Female,Tier 3,13145.43237
TXN364,46,5,15293,408.5780237,10,Female,Tier 3,11079.54346
TXN365,56,15,29019,995.3473074,6,Male,Tier 1,8790.391811
TXN366,45,6,23181,205.5059931,8,Male,Tier 1,9736.725462
TXN367,50,3,29839,681.5630416,7,Male,Tier 2,9340.844849
TXN368,52,4,27118,526.9125147,9,Male,Tier 2,11598.84843
TXN369,30,1,23157,741.6601444,7,Male,Tier 1,8358.21474
TXN370,20,1,23468,330.9445637,3,Female,Tier 1,4783.754448
TXN371,40,15,12902,341.4041515,10,Male,Tier 3,11502.09284
TXN372,29,5,15823,66.56519829,8,Female,Tier 3,7954.067736
TXN373,45,14,29363,239.4980584,0,Male,Tier 1,6054.3802
TXN374,45,7,7784,290.6472885,2,Male,Tier 2,2760.676299
TXN375,44,11,4520,560.1695037,2,Female,Tier 1,2244.571617
TXN376,56,10,18660,893.1258914,7,Male,Tier 1,8069.735514
TXN377,31,9,16943,262.0363232,4,Male,Tier 3,4990.892478
TXN378,34,10,4323,598.2116078,3,Female,Tier 1,2434.714406
TXN379,52,6,29849,66.97740073,6,Female,Tier 2,8042.687175
TXN380,27,10,14902,1.672464924,1,Female,Tier 2,3065.635702
TXN381,43,13,27125,151.5062069,3,Male,Tier 1,6304.371965
TXN382,44,4,24321,378.3195776,9,Male,Tier 3,11046.91046
TXN383,59,2,9110,294.6826261,3,Female,Tier 3,2739.014376
TXN384,20,4,7848,328.3265385,9,Female,Tier 1,8280.805173
TXN385,56,13,5544,506.8508868,1,Male,Tier 3,2494.088021
TXN386,25,2,29093,380.8108538,5,Female,Tier 2,6858.683009
TXN387,40,11,10000,385.4623542,9,Female,Tier 1,9066.572771
TXN388,29,3,12829,464.0144836,5,Female,Tier 2,4441.66523
TXN389,53,8,9215,27.90153857,10,Female,Tier 3,10248.27878
TXN390,53,6,17161,224.203335,2,Female,Tier 3,3827.953878
TXN391,52,14,8455,71.91702558,7,Female,Tier 3,6051.577418
TXN392,39,12,29008,691.2643777,5,Female,Tier 1,7374.826495
TXN393,49,9,9405,549.5569824,10,Male,Tier 2,10892.21724
TXN394,40,13,3898,269.8081379,2,Female,Tier 1,2141.545175
TXN395,38,7,26488,512.8030921,6,Male,Tier 2,7828.93941
TXN396,20,1,29901,129.7040327,4,Male,Tier 2,6489.051677
TXN397,59,10,17890,465.7177376,5,Female,Tier 1,5853.974355
TXN398,38,15,12490,85.8129648,7,Female,Tier 3,6712.499537
