Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Ice Hockey,Ice Hockey,"HOLMES, George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"JUKES, Hamilton",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"PATTON, B.-N.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"PITBLADO, Edward",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"SEXTON, Blane Nathaniel",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CAMERON, Jack",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"COLLETT, Ernest J.",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC CAFFERY, Albert",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC MUNN, Harold",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MUNRO, Duncan",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"SLATER, Cyril",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"SMITH, Reginald",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"WATSON, Harry",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"ABEL, Clarence John",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"DRURY, Herbert L.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"GERAN, N.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LACROIX, Alphonse",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LANGLEY, John Arthur",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LYONS, John Sharkey",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC CARTHY, Justin",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"RICE, Willard",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"SMALL, Irving Wheeler",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"SYNNOTT, Francis Allen",USA,Men,Ice Hockey,Silver
1924,Chamonix,Skating,Figure skating,"GAUTSCHI, Georges",SUI,Men,Individual,Bronze
1924,Chamonix,Skating,Figure skating,"GRAFSTRÖM, Gillis",SWE,Men,Individual,Gold
1924,Chamonix,Skating,Figure skating,"BÖCKL, Willy",AUT,Men,Individual,Silver
1924,Chamonix,Skating,Figure skating,"MUCKELT, Ethel",GBR,Women,Individual,Bronze
1924,Chamonix,Skating,Figure skating,"SZABO-PLANK, Herma",AUT,Women,Individual,Gold
1924,Chamonix,Skating,Figure skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Silver
1924,Chamonix,Skating,Figure skating,"BRUNET, Andrée",FRA,Women,Pairs,Bronze
1924,Chamonix,Skating,Figure skating,"BRUNET, Pierre",FRA,Men,Pairs,Bronze
1924,Chamonix,Skating,Figure skating,"BERGER, Alfred",AUT,Men,Pairs,Gold
1924,Chamonix,Skating,Figure skating,"ENGELMANN, Helene",AUT,Women,Pairs,Gold
1924,Chamonix,Skating,Figure skating,"JAKOBSSON, Ludowika",FIN,Women,Pairs,Silver
1924,Chamonix,Skating,Figure skating,"JAKOBSSON, Walter",FIN,Men,Pairs,Silver
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",NOR,Men,10000M,Bronze
1924,Chamonix,Skating,Speed skating,"SKUTNABB, Julius",FIN,Men,10000M,Gold
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,10000M,Silver
1924,Chamonix,Skating,Speed skating,"MOEN, Sigurd",NOR,Men,1500M,Bronze
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,1500M,Gold
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",NOR,Men,1500M,Silver
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",NOR,Men,5000M,Bronze
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,5000M,Gold
1924,Chamonix,Skating,Speed skating,"SKUTNABB, Julius",FIN,Men,5000M,Silver
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,500M,Bronze
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",NOR,Men,500M,Bronze
1924,Chamonix,Skating,Speed skating,"JEWTRAW, Charles",USA,Men,500M,Gold
1924,Chamonix,Skating,Speed skating,"OLSEN, Oskar",NOR,Men,500M,Silver
1924,Chamonix,Skating,Speed skating,"SKUTNABB, Julius",FIN,Men,Combined (4 Events),Bronze
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,Combined (4 Events),Gold
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",NOR,Men,Combined (4 Events),Silver
1924,Chamonix,Skiing,Cross Country Skiing,"NIKU, Tapani",FIN,Men,18KM,Bronze
1924,Chamonix,Skiing,Cross Country Skiing,"HAUG, Thorleif",NOR,Men,18KM,Gold
1924,Chamonix,Skiing,Cross Country Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,Silver
1924,Chamonix,Skiing,Cross Country Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,50KM,Bronze
1924,Chamonix,Skiing,Cross Country Skiing,"HAUG, Thorleif",NOR,Men,50KM,Gold
1924,Chamonix,Skiing,Cross Country Skiing,"STRÖMSTAD, Thoralf",NOR,Men,50KM,Silver
1924,Chamonix,Skiing,Nordic Combined,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,Bronze
1924,Chamonix,Skiing,Nordic Combined,"HAUG, Thorleif",NOR,Men,Individual,Gold
1924,Chamonix,Skiing,Nordic Combined,"STRÖMSTAD, Thoralf",NOR,Men,Individual,Silver
1924,Chamonix,Skiing,Ski Jumping,"HAUGEN, Anders",USA,Men,K90 Individual (70M),Bronze
1924,Chamonix,Skiing,Ski Jumping,"THAMS, Jacob Tullin",NOR,Men,K90 Individual (70M),Gold
1924,Chamonix,Skiing,Ski Jumping,"BONNA, Narve",NOR,Men,K90 Individual (70M),Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"HESS, Hans",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"HUBER, Sebastian",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"KILIAN, Hanns",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"KREMPL, Valentin",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"NÄGLE, Hanns",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"FISKE, William",USA,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"MASON, Geoffrey Travers",USA,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"PARKE, Richard",USA,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"TUCKER, Nion",USA,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"DOE, Thomas",USA,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"GRANGER, David",USA,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"HEATON, Jennison",USA,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"HINE, Lyman",USA,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"O'BRIEN, Jay James",USA,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Skeleton,"NORTHESK, David, Earl of",GBR,Men,Individual,Bronze
1928,St.Moritz,Bobsleigh,Skeleton,"HEATON, Jennison",USA,Men,Individual,Gold
1928,St.Moritz,Bobsleigh,Skeleton,"HEATON, John",USA,Men,Individual,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"ANDREOSSI, Giannin",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"ANDREOSSI, Mezzi",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"BREITER, Robert",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"DUFOUR, Louis",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"FASEL, Charles",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"GEROMINI, Albert",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"KRAATZ, Fritz",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"MARTIGNONI, Arnold",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"MENG, Heini",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"MOROSANI, Anton",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"RÜEDI, Luzius",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"TORRIANI, Richard",SUI,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"DELAHAY, Charles",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"FISHER, Franlyn Wood",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"HUDSON, Henry Louis",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"MUELLER, Norbert Edward",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PLAXTON, Herbert Alfred",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PLAXTON, Hugh John",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PLAXTON, Rogers Hayward",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PORTER, John Chester",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"SULLIVAN, Frank Gerald",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"SULLIVAN, Joseph Taylor",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"TAYLOR, Ross Croft",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"TROTTIER, David",CAN,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"ABRAHAMSSON, Carl",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"BERGMAN, Emil",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"HOLMQVIST, Birger",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"JOHANSSON, Gustaf",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"JOHANSSON, Henry",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"JOHANSSON, Nils",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"KARLBERG, Ernst",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"LARSSON, Erik",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"LINDE, Bertil",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"ÖBERG, Sigfrid",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"PETERSEN, Wilhelm",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"SUCKSDORFF, Kurt",SWE,Men,Ice Hockey,Silver
1928,St.Moritz,Skating,Figure skating,"VAN ZEEBROECK, Robert",BEL,Men,Individual,Bronze
1928,St.Moritz,Skating,Figure skating,"GRAFSTRÖM, Gillis",SWE,Men,Individual,Gold
1928,St.Moritz,Skating,Figure skating,"BÖCKL, Willy",AUT,Men,Individual,Silver
1928,St.Moritz,Skating,Figure skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Bronze
1928,St.Moritz,Skating,Figure skating,"HENIE, Sonja",NOR,Women,Individual,Gold
1928,St.Moritz,Skating,Figure skating,"BURGER, Fritzi",AUT,Women,Individual,Silver
1928,St.Moritz,Skating,Figure skating,"BRUNNER, Melitta",AUT,Women,Pairs,Bronze
1928,St.Moritz,Skating,Figure skating,"WREDE, Ludwig",AUT,Men,Pairs,Bronze
1928,St.Moritz,Skating,Figure skating,"BRUNET, Andrée",FRA,Women,Pairs,Gold
1928,St.Moritz,Skating,Figure skating,"BRUNET, Pierre",FRA,Men,Pairs,Gold
1928,St.Moritz,Skating,Figure skating,"KAISER, Otto",AUT,Men,Pairs,Silver
1928,St.Moritz,Skating,Figure skating,"SCHOLZ, Lilly",AUT,Women,Pairs,Silver
1928,St.Moritz,Skating,Speed skating,"BALLANGRUD, Ivar",NOR,Men,1500M,Bronze
1928,St.Moritz,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,1500M,Gold
1928,St.Moritz,Skating,Speed skating,"EVENSEN, Bernt",NOR,Men,1500M,Silver
1928,St.Moritz,Skating,Speed skating,"EVENSEN, Bernt",NOR,Men,5000M,Bronze
1928,St.Moritz,Skating,Speed skating,"BALLANGRUD, Ivar",NOR,Men,5000M,Gold
1928,St.Moritz,Skating,Speed skating,"SKUTNABB, Julius",FIN,Men,5000M,Silver
1928,St.Moritz,Skating,Speed skating,"FRIMAN, Jaakko",FIN,Men,500M,Bronze
1928,St.Moritz,Skating,Speed skating,"LARSEN, Roald",NOR,Men,500M,Bronze
1928,St.Moritz,Skating,Speed skating,"FARRELL, John O",USA,Men,500M,Bronze
1928,St.Moritz,Skating,Speed skating,"THUNBERG, Clas",FIN,Men,500M,Gold
1928,St.Moritz,Skating,Speed skating,"EVENSEN, Bernt",NOR,Men,500M,Gold
1928,St.Moritz,Skiing,Cross Country Skiing,"ÖDEGAARD, Reidar",NOR,Men,18KM,Bronze
1928,St.Moritz,Skiing,Cross Country Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,Gold
1928,St.Moritz,Skiing,Cross Country Skiing,"HEGGE, Ole",NOR,Men,18KM,Silver
1928,St.Moritz,Skiing,Cross Country Skiing,"ANDERSSON, Volger",SWE,Men,50KM,Bronze
1928,St.Moritz,Skiing,Cross Country Skiing,"HEDLUND, Per Erik",SWE,Men,50KM,Gold
1928,St.Moritz,Skiing,Cross Country Skiing,"JONSSON, Gustav",SWE,Men,50KM,Silver
1928,St.Moritz,Skiing,Nordic Combined,"SNERSRUD, John",NOR,Men,Individual,Bronze
1928,St.Moritz,Skiing,Nordic Combined,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,Gold
1928,St.Moritz,Skiing,Nordic Combined,"VINJARENGEN, Hans",NOR,Men,Individual,Silver
1928,St.Moritz,Skiing,Ski Jumping,"BURKERT, Rudolf",TCH,Men,K90 Individual (70M),Bronze
1928,St.Moritz,Skiing,Ski Jumping,"ANDERSEN, Alf",NOR,Men,K90 Individual (70M),Gold
1928,St.Moritz,Skiing,Ski Jumping,"RUUD, Sigmund",NOR,Men,K90 Individual (70M),Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"BREHME, Albert",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"GRAU, Fritz",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HOPMANN, Helmut",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HUBER, Sebastian",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HUTH, Werner",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"KILIAN, Hanns",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"KROTKI, Rudolf",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"LUDWIG, Max",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"MEHLHHORN, Hans",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"ROSSNER, Heinrich",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"ZAHN, Werner",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"EAGAN, Edward",USA,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"FISKE, William",USA,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"O'BRIEN, Jay James",USA,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, J. Hubert",USA,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"ASHFORTH, Albert",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"BRYANT, Precy D.",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"GOODRICH, Hunter",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"HACKNEY, Clement",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"HOMBURGER, Henry A.",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"HORTON, Edmund C",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"LIPSON, Howard S",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"MARTIN, Harry G",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, Curtis",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, Francis Paul",USA,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"BRYANT, Precy D.",USA,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HEATON, John",USA,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HOMBURGER, Henry A.",USA,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"MARTIN, Harry G",USA,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"MINTON, Robert",USA,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, J. Hubert",USA,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"ARTHUR, Adams",USA,Men,Two-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, Curtis",USA,Men,Two-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"CAPADRUTT, Reto",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"FONJALLAZ, Gaston",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"FONJALLAZ, Gustave",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"FONJALLAZ, René",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"GEIER, Oscar",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"JENNY, Charles",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"KLOETTA, Antoine",SUI,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"STAUFFER, William",SUI,Men,Two-Man,Silver
1932,Lake Placid,Ice Hockey,Ice Hockey,"BALL, Rudolf",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"HEINRICH, Alfred",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"HERKER, Erich",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"JÄNECKE, Gustav",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"KORFF, Werner",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"LEINWEBER, Walter",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"RÖMER, Erich",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"SCHRÖTTLE, Martin",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"SLEVOGT, Marquardt",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"STROBL, Georg",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"COCKBURN, William George",CAN,Men,Ice Hockey,Gold
1932,Lake Placid,Ice Hockey,Ice Hockey,"CROWLEY, Clifford",CAN,Men,Ice Hockey,Gold
